c;c;o;c;s;f;s;g;n;o;u;o;u;c;o;
Champions League;Villarreal;Bayern;3,75;G;1,25;S;1,53;2,37;1,14;5,5;1,5;2,62;1;0;
Laliga;Levante;Villarreal;3,75;S;1,25;G;1,61;2,2;1,2;4,5;1,61;2,3;2;0;
A League;Perth Glory;Melbourne Victory;3,75;S;1,25;G;1,95;1,8;1,3;3,5;2;1,85;0;1;
Serie B;Cosenza;Monza;3,75;S;1,25;G;1,95;1,8;1,3;3,4;2,05;1,75;0;2;
Nazionali;Venezuela;Colombia;3,75;S;1,25;G;2;1,75;1,33;3,25;2,07;1,72;0;1;
Serie B;Pordenone;Brescia;3,75;S;1,25;G;2,1;1,66;1,36;3;2,1;1,7;1;1;
Eredivisie;Willem II;Alkmaar;4;G;1,22;S;2;1,75;1,3;3,4;2,02;1,83;2;2;
Laliga;Espanyol;Barcellona;4;S;1,22;G;1,75;2;1,22;4,33;1,66;2,2;2;2;
League One;Burton;Wigan;4;S;1,22;G;2;1,75;1,3;3,4;2,05;1,8;0;0;
League One;Wimbledon;Rotherham;4;S;1,22;G;2,1;1,66;1,36;3;2,1;1,7;0;1;
Bundesliga;Francoforte;Bayern;4,33;G;1,2;S;1,5;2,5;1,1;7;1,36;3,2;0;1;
Bundesliga;Friburgo;Bayern;4,33;G;1,2;S;1,66;2,1;1,16;5;1,5;2,62;1;4;
Ligue 1;Angers;Paris SG;4,33;G;1,2;S;1,75;2;1,2;4,5;1,61;2,3;0;3;
Laliga;Vallecano;Real Madrid;4,33;S;1,2;G;1,9;1,9;1,25;4;1,8;2;0;1;
Eerste Divisie;Dordrecht;Eindhoven;4,5;S;1,18;G;1,66;2,1;1,16;5;1,57;2,35;0;1;
Jupiler League;Eupen;Gent;4,5;S;1,18;G;1,8;1,95;1,2;4,33;1,7;2,1;0;1;
Premier League;Brighton;Liverpool;4,5;ND;1,18;ND;1,8;1,95;1,22;4,33;1,72;2,1;0;2;
Serie A;Venezia;Napoli;4,5;S;1,18;G;1,9;1,9;1,25;4;1,72;2,1;0;2;
Nazionali;Bolivia;Brasile;4,5;S;1,18;G;1,9;1,9;1,25;3,75;1,83;2,02;0;4;
Serie B;Cosenza;Lecce;4,5;S;1,18;G;2,1;1,66;1,33;3,25;2,15;1,66;2;2;
Primera Division Par;Nacional Asuncion;Libertad;5;S;1,16;G;1,72;2;1,18;4,5;1,6;2,3;0;3;
Championship;Barnsley;Fulham;5;S;1,16;G;1,9;1,8;1,25;4;1,72;2,1;1;1;
Bundesliga Aus;Rapid Vienna;Salzburg;5;S;1,16;G;1,95;1,8;1,22;4;1,75;2,05;1;2;
Champions League;Benfica;Liverpool;5,5;G;1,14;S;1,8;1,95;1,2;4,5;1,61;2,3;1;3;
Veikkausliiga;Hifk;Hjk;5,5;G;1,14;S;2,37;1,53;1,36;3;2,1;1,7;0;2;
Serie A;Venezia;Atalanta;5,5;S;1,14;G;1,7;2,05;1,14;5,5;1,53;2,5;1;3;
Europa League;Galatasaray;Barcellona;5,5;S;1,14;G;1,9;1,9;1,2;4,5;1,61;2,3;1;2;
Serie A;Bologna;Inter;6;S;1,12;G;1,8;1,95;1,14;5,5;1,5;2,62;2;1;
Liga Portugal;Boavista;Sporting;6;S;1,12;G;2,25;1,57;1,33;3,25;2,05;1,75;0;3;
FA Cup;Southampton;Manchester City;6,5;G;1,11;S;1,9;1,9;1,16;5;1,57;2,37;1;4;
Serie A;Genoa;Inter;7;G;1,1;S;1,95;1,8;1,2;4,5;1,61;2,3;0;0;
FA Cup;Nottingham;Liverpool;7;G;1,1;S;1,95;1,8;1,18;4,5;1,61;2,3;0;1;
Primier Division Irl;UC Dublin;Derry City;7;S;1,1;G;2,2;1,61;1,25;3,75;1,88;1,98;0;2;
Eredivisie;Groningen;Ajax;8;G;1,08;S;1,95;1,8;1,16;5;1,53;2,4;1;3;
Bundesliga;Furth;Leverkusen;8;S;1,08;G;1,95;1,8;1,16;5;1,5;2,62;1;4;
Jupiler League;Beerschot VA;Club Brugge;9;S;1,07;G;1,95;1,8;1,12;6;1,44;2,7;1;3;
3 Liga;Viktoria Berlin;Magdeburg;9;S;1,07;G;2,1;1,66;1,16;5;1,57;2,35;2;1;
Bundesliga;Bochum;Bayern;10;G;1,06;S;1,75;2;1,08;8;1,28;3,75;4;2;
Premier League;Burnley;Liverpool;10;S;1,06;G;1,95;1,8;1,12;6;1,4;3;0;1;
Bundesliga;Bielefeld;Bayern;13;S;1,04;G;1,9;1,9;1,07;9;1,28;3,75;0;3;
Premier League;Norwich;Manchester City;13;S;1,04;G;2,5;1,5;1,2;4,5;1,57;2,37;0;4;
Premier League;Burnley;Manchester City;13;S;1,04;G;2,5;1,5;1,2;4,5;1,57;2,37;0;2;
Eredivisie;Cambuur ;Ajax;15;S;1,03;G;1,7;2,05;1,04;13;1,18;4,5;2;3;
Laliga;Levante;Siviglia;2 25;ND;1 57;ND;1 75;2 00;1 30;3 50;2 01;1 89;2;3;
Serie B;Ascoli;Cittadella;1 36;G;3 00;S;2 00;1 75;1 40;2 75;2 25;1 61;0;0;
Superliga;Viborg;Nordsjaelland;1,28;G;3,5;S;1,66;2,1;1,2;4,33;1,65;2,2;1;1;
Super Lig;Fenerbahce;Gaziantep;1,12;G;6;S;1,72;2;1,12;6;1,44;2,7;3;2;
Eredivisie;Utrecht;Nijmegen;1,25;G;3,75;S;1,66;2,1;1,2;4,33;1,7;2,1;1;0;
Bundesliga;Union Berlino;Furth;1,06;G;10;S;2,25;1,57;1,2;4,5;1,66;2,1;1;1;
Championship;Qpr;Sheffield Utd;3,75;S;1,25;G;1,8;1,9;1,25;4;1,8;2;1;3;
Ligue 1;Strasburgo;Paris SG;2,37;G;1,53;S;1,57;2,25;1,2;4,5;1,66;2,2;3;3;
Laliga;Siviglia;Cadice;1,16;G;5,5;S;2,1;1,66;1,36;3,2;2,1;1,72;1;1;
A League;Brisbane Roar;Central Coast Mariners;2,1;S;1,66;G;1,57;2,25;1,22;4,33;1,72;2,1;0;2;
Veikkausliiga;Inter Turku;Hjk;2,37;ND;1,53;ND;1,95;1,8;1,36;3;2,25;1,61;0;1;
Superettan Svez;Halmstad;Ostersunds;1,12;G;6;S;2,1;1,66;1,25;3,75;1,88;1,98;2;0;
Championship;Bournemouth;Nottingham;1,53;S;2,37;G;1,8;1,9;1,33;3,4;2,05;1,8;1;0;
Champions League;Villarreal;Liverpool;3,25;G;1,33;S;1,7;2,05;1,22;4,33;1,66;2,2;2;3;
Serie A Bra;Internacional;Avai;1,14;S;5,5;G;2,25;1,57;1,4;2,75;2,25;1,61;0;0;
League Two Eng;Salford;Mansfield;2,1;S;1,66;G;1,72;2;1,28;3,5;1,93;1,93;2;2;
Championship;Fulham;Luton;1,14;G;5,5;S;1,83;1,83;1,22;4,33;1,72;2,1;7;0;
Laliga2;Leganes;Huesca;1,8;S;1,9;G;1,9;1,8;1,4;2,75;2,3;1,6;2;1;
Serie A;Atalanta;Salernitana;1,08;ND;8;ND;1,8;1,95;1,12;6;1,44;2,75;1;1;
Serie A;Juventus;Venezia;1,08;ND;8;ND;2;1,75;1,2;4,5;1,57;2,37;2;1;
Ligue 1;Monaco;Angers;1,1;G;7;S;1,9;1,9;1,16;5;1,57;2,37;2;0;
Premier League;Tottenham;Leicester;1,11;G;6,5;S;1,9;1,9;1,2;4,5;1,57;2,37;3;1;
Allsvenskan;Djurgarden;Sirius;1,14;G;5,5;S;1,95;1,8;1,2;4,33;1,7;2,1;4;0;
Bundesliga;Dortmund;Bochum;1,14;ND;4,5;ND;1,53;2,37;1,1;7;1,36;3,2;3;4;
Serie A;Roma;Bologna;1,16;ND;5;ND;1,95;1,8;1,25;4;1,82;2,08;0;0;
Bundesliga;Leverkusen;Francoforte;1,18;G;4,5;S;1,57;2,25;1,14;5,5;1,5;2,62;2;0;
Allsvenskan;Norrkoping;Varnamo;1,22;G;4;S;1,95;1,8;1,28;3,5;1,95;1,9;2;0;
Ligue 1;Lens;Nantes;1,25;G;3,75;S;1,75;2;1,22;4,33;1,66;2,2;2;2;
Super Lig;Galatasaray;Karagumruk;1,25;G;3,75;S;1,8;1,90;1,22;4;1,8;2;2;0;
Super Lig;Galatasaray;Sivasspor;1,33;G;3,25;S;1,72;2;1,25;3,75;1,85;2;2;3;
Serie B;Cremonese;Ascoli;1,33;ND;3,25;ND;1,8;1,95;1,28;3,5;1,98;1,88;0;1;
Bundesliga;Stoccarda;Wolfsburg;1,36;G;3;S;1,75;2;1,25;4;1,84;2,06;1;1;
Ligue 1;Marsiglia;Nizza;1,36;G;3;S;1,8;1,95;1,3;3,5;2,01;1,89;2;1;
Europa Leaugue;West Ham;Francoforte;1,36;S;3;G;1,8;1,95;1,33;3,4;2,06;1,84;1;2;
Superliga;Silkeborg;Aalborg;1,4;G;2,75;S;1,61;2,2;1,18;4,5;1,61;2,25;4;2;
Superliga;Randers;Brondby;1,4;G;2,75;S;1,61;2,2;1,2;4,33;1,66;2,15;2;1;
Serie B;Monza;Benevento;1,4;G;2,75;S;1,66;2,1;1,22;4;1,75;2,05;3;0;
Premiership Sco;Celtic;Rangers;1,4;G;2,75;S;1,8;1,95;1,28;3,75;1,93;1,93;1;1;
Laliga;Valencia;Levante;1,44;G;2,62;S;1,8;1,95;1,33;3,4;2,05;1,85;1;1;
Eredivisie;Heerenveen;Cambuur;1,44;ND;2,62;ND;1,61;2,2;1,2;4,33;1,66;2,15;3;3;
Ligue 1;Lorient;Reims;1,5;G;2,5;S;1,9;1,9;1,36;3,2;2,2;1,66;1;2;
Allsvenskan;Goteborg;Kalmar;1,57;G;2,25;S;1,95;1,8;1,36;3;2,15;1,66;1;2;
Serie B;Parma;Alessandria;1,57;S;2,25;G;1,75;2;1,28;3,5;1,98;1,88;2;2;
Superettan Svez;Vasteras SK;Utsiktens;1,57;S;2,25;G;1,8;1,95;1,28;3,5;1,9;1,95;0;3;
Allsvenskan;Hammarby;Malmo FF;1,61;G;2,2;S;1,7;2,05;1,25;3,75;1,88;1,98;0;0;
Premier League;Southampton;Crystal Palace;1,66;S;2,1;G;1,9;1,9;1,4;3;2,2;1,66;1;2;
Superettan Svez;Vasteras SK;Orebro;1,72;G;2;S;1,66;2,1;1,25;3,75;1,88;1,98;2;1;
Ligue 1;Marsiglia;Lione;1,72;S;2;G;1,53;2,37;1,2;4,5;1,61;2,3;0;3;
Serie B;Ternana;Perugia;1,72;ND;2;ND;1,61;2,2;1,22;4;1,75;2,05;1;0;
Serie B;Reggina;Como;1,8;G;1,9;S;1,75;2;1,28;3,5;2;1,85;1;4;
Serie A;Cagliari;Verona;1,8;G;1,9;S;1,8;1,95;1,36;3,2;2,1;1,72;1;2;
Superliga;Midtjylland;FC Copenhagen;1,8;G;1,9;S;1,9;1,9;1,33;3,25;2,1;1,7;0;0;
Laliga;Elche;Osasuna;1,8;G;1,9;S;2;1,75;1,44;2,75;2,37;1,57;1;1;
Premier League;Wolves;Brighton;1,8;G;1,9;S;2,2;1,61;1,57;2,37;2,75;1,44;0;3;
Laliga;Ath Bilbao;Atl Madrid;1,83;G;1,83;S;2,05;1,7;1,5;2,62;2,62;1,5;2;0;
Bundesliga;Bielefeld;Hertha;1,83;S;1,83;G;1,8;1,95;1,33;3,4;2,09;1,81;1;1;
Eerste Divisie;Graafschap;FC Emmen;1,83;S;1,83;G;1,83;1,83;1,36;3;2,1;1,7;1;1;
Serie A;Empoli;Torino;1,9;S;1,8;G;1,57;2,25;1,2;4,5;1,66;2,2;1;3;
Jupiler League;Anderlecht;Club Brugge;1,9;S;1,8;G;1,61;2,2;1,22;4;1,75;2,05;0;0;
Ligue 1;Brest;Clermont;1,9;S;1,8;G;1,75;2;1,3;3,5;2,04;1,86;2;0;
Laliga;Getafe;Betis;1,9;S;1,8;G;1,95;1,8;1,4;3;2,3;1,61;0;0;
Serie A;Sampdoria;Genoa;1,9;S;1,8;G;2,05;1,7;1,5;2,62;2,5;1,53;1;0;
Serie B;Spal;Frosinone;2;ND;1,72;ND;1,7;2,05;1,28;3,5;2;1,85;3;0;
Laliga;Granada;Celta Vigo;2;S;1,72;G;1,8;1,95;1,36;3,2;2,1;1,72;1;1;
Liga Portugal;Ferreira;Tondela;2,1;S;1,66;G;1,95;1,8;1,4;2,75;2,25;1,61;1;1;
Ligue 1;Bordeaux;Nizza;2,2;G;1,61;S;1,61;2,2;1,22;4,33;1,72;2,1;0;1;
Laliga;Alaves;Villarreal;2,2;G;1,61;S;1,8;1,95;1,33;3,4;2,13;1,78;2;1;
Bundesliga;Augusta;Colonia;2,2;S;1,61;G;1,57;2,25;1,22;4,33;1,72;2,1;1;4;
Serie B;Pordenone;Crotone;2,25;S;1,57;G;1,61;2,2;1,22;4;1,75;2,05;3;3;
Ligue 1;Troyes;Lilla;2,37;G;1,53;S;1,8;1,95;1,36;3,2;2,1;1,72;3;0;
Serie B;LR Vicenza;Lecce;2,5;G;1,5;S;1,8;1,95;1,3;3,4;2,02;1,83;2;1;
Premier League;West Ham;Arsenal;3,25;ND;1,33;ND;1,7;2,05;1,25;4;1,8;2;1;2;
Jupiler League;Antwerp;Royale Union SG;3,25;S;1,33;G;1,8;1,95;1,28;3,5;1,98;1,88;0;0;
Ligue 2;Rodez;Tolosa;3,4;G;1,3;S;1,9;1,8;1,33;3,25;2,05;1,75;1;0;
Bundesliga;Monchengladbach;RB Lipsia;3,4;S;1,3;G;1,66;2,1;1,2;4,5;1,61;2,3;3;1;
Bundesliga;Magonza;Bayern;3,5;G;1,28;S;1,44;2,62;1,11;6,5;1,4;3;3;1;
Premier League;Everton;Chelsea;3,5;G;1,28;S;1,95;1,8;1,3;3,5;2,03;1,87;1;0;
Championship;Barnsley;Preston;3,75;S;1,25;G;1,83;1,83;1,25;4;1,83;2,02;1;3;
Serie B;Cittadella;Brescia;4;S;1,22;G;2,05;1,7;1,33;3,25;2,07;1,72;1;0;
Serie A;Udinese;Inter;4,33;S;1,2;G;1,7;2,05;1,16;5;1,53;2,5;1;2;
Premier League;Newcastle;Liverpool;4,5;G;1,18;S;1,95;1,8;1,25;4;1,85;2,05;0;1;
Super League Sviz;Sion;Young Boys;4,5;S;1,18;G;1,8;1,9;1,18;4,5;1,6;2,3;1;2;
Serie A;Spezia;Lazio;5;S;1,16;G;1,75;2;1,2;4,5;1,57;2,37;3;4;
Premier League;Leeds;Manchester City;6,5;S;1,11;G;1,9;1,9;1,16;5;1,53;2,5;0;4;
Laliga2;Valladolid;R Sociedad B;118;S;4,5;G;1,72;2;1,16;5;1,53;2,4;1;2;
A League;WS Wanderers;Wellington Phoenix;1,44;G;2,62;S;1,53;2,37;1,16;5;1,57;2,37;1;2;
Coppa DI Danimarca;Odense;Sonderjyske;1,5;S;2,5;G;1,75;2;1,28;3,5;1,88;1,98;3;0;
Serie A;Salernitana;Venezia;1,44;G;2,62;S;1,9;1,9;1,33;3,4;2,1;1,72;2;1;
Allsvenskan;Djurgarden;Helsingborg;1,11;G;6,5;S;2,05;1,7;1,2;4,33;1,7;2,1;2;2;
Europa Leaugue;Francoforte;West Ham;1,9;S;1,8;G;1,61;2,2;1,28;3,75;1,8;2;1;0;
Conference League;Rangers;RB Lipsia;2,37;G;1,53;S;1,75;2;1,3;3,5;1,97;1,93;3;1;
Conference League;Marsiglia;Feyenoord;1,66;S;2,1;G;1,4;2,75;1,12;6;1,44;2,7;0;0;
Conference League;Roma;Leicester;1,57;S;2,25;G;1,72;2;1,28;3,5;1,98;1,88;1;0;
Serie B;Crotone;Parma;1,8;G;1,9;S;1,61;2,2;1,22;4;1,72;2,07;0;1;
Serie A;Inter;Empoli;1,04;G;13;S;1,8;1,95;1,07;9;1,25;4;4;2;
Superliga;Silkeborg;Randers;1,25;G;3,75;S;1,61;2,2;1,16;5;1,53;2,4;1;0;
Bundesliga;Bochum;Bielefeld;1,57;S;2,25;G;1,61;2,2;1,25;4;1,8;2;2;1;
Serie B;Alessandria;LR Vicenza;1,57;G;2,25;S;1,75;2;1,3;3,4;2,02;1,83;0;1;
Serie B;Ascoli;Ternana;1,53;S;2,37;G;1,5;2,5;1,16;5;1,57;2,35;4;1;
Serie B;Benevento;Spal;1,16;ND;5;ND;1,61;2,2;1,14;5,5;1,53;2,4;1;2;
Serie B;Brescia;Reggina;1,04;G;13;S;2,2;1,61;1,12;6;1,47;2,6;3;0;
Serie B;Como;Cremonese;4;ND;1,2;ND;1,61;2,2;1,14;5,5;1,5;2,5;1;2;
Serie B;Cosenza;Cittadella;1,36;G;3;S;1,95;1,8;1,33;3,25;2,07;1,72;1;0;
Serie B;Frosinone;Pisa;1,44;G;2,62;S;1,8;1,95;1,28;3,5;2;1,85;1;2;
Serie B;Lecce;Pordenone;1,03;G;15;S;2,25;1,57;1,14;5,5;1,47;2,6;1;0;
Serie B;Perugia;Monza;2,62;S;1,44;G;1,75;2;1,25;3,75;1,83;2,02;1;0;
Ligue 1;Lilla;Monaco;2,62;ND;1,44;ND;1,7;2,05;1,25;4;1,8;2;1;2;
Serie A;Genoa;Juventus;2,5;G;1,5;S;1,95;1,8;1,36;3,2;2,1;1,72;2;1;
Laliga;Levante;Real Sociedad;2,25;S;1,57;G;1,7;2,05;1,28;3,75;1,92;1,98;2;1;
2 Bundesliga;Amburgo;Hannover;1,07;G;9;S;1,66;2,1;1,08;8;1,3;3,5;2;1;
2 Bundesliga;Ingolstadt;Rostock;2,2;S;1,61;G;1,57;2,25;1,2;4,33;1,7;2,1;0;0;
2 Bundesliga;Regensburg;Heidenheim;1,66;G;2,1;S;1,5;2,5;1,18;4,5;1,6;2,3;0;2;
Laliga;Maiorca;Granada;1,4;ND;2,75;ND;1,95;1,8;1,33;3,4;2;1,8;2;6;
Serie A;Torino;Napoli;2,37;G;1,53;S;1,7;2,05;1,28;3,75;1,95;1,95;0;1;
Bundesliga;Colonia;Wolfsburg;1,2;G;4,33;S;1,57;2,25;1 114;5,5;1,44;2,75;0;1;
Bundesliga;Friburgo;Union Berlino;1,3;G;3,4;S;1,8;1,95;1;3,75;1,98;1,92;1;4;
Bundesliga;Furth;Dortmund;5,5;G;1,14;S;1,5;2,5;1;7;1,33;3,4;1;3;
Bundesliga;Hoffenheim;Leverkusen;2,1;G;1,66;S;1,44;2,62;1;5,5;1,44;2,75;2;4;
Premier League;Brentford;Southampton;1,44;G;2,62;S;1,7;2,05;1;4;1,88;2,02;3;0;
Premier League;Burnley;Aston Villa;2;G;1,72;S;2;1,75;1;3;2,3;1,61;1;3;
Premier League;Chelsea;Wolves;1,12;ND;6;ND;2,1;1,66;1;4;1,87;2,03;2;2;
Premier League;Crystal Palace;Watford;1,25;ND;3,75;ND;1,95;1,8;1;3,4;2,09;1,81;1;0;
Laliga;Ath Bilbao;Valencia;1,14;G;5,5;S;2,1;1,66;1;3,75;1,94;1,96;0;0;
Ligue 1;Brest;Strasburgo;2,75;G;1,4;S;1,7;2,05;1;4;1,83;2,07;0;1;
Serie A;Sassuolo;Udinese;1,72;S;2;G;1,4;2,75;1;6;1,44;2,75;1;1;
Premier League;Brighton;Manchester Utd;2;G;1,72;S;1,8;1,95;1;3,4;2;1,8;4;0;
Laliga;Cadice;Elche;1,2;G;4,3;S;2;1,75;1;3,4;2,06;1,84;3;0;
Laliga;Celta Vigo;Alaves;1,28;G;3,5;S;2;1,75;1;3,2;2,1;1,72;4;0;
Liga Portugal;Benfica;FC Porto;2;ND;1,72;ND;1,61;2,2;1;4;1,72;2,07;0;1;
Premier League;Liverpool;Tottenham;1,16;S;5;G;1,75;2;1;5;1,53;2,5;1;1;
Serie A;Lazio;Sampdoria;1,14;G;5,5;S;1,8;1,95;1;4,5;1,66;2,2;2;0;
Laliga;Betis;Barcellona;2,1;G;1,66;S;1,5;2,5;1;5;1,57;2,37;1;2;
Serie A Bra;Bragantino;Corinthians;1,72;G;2;S;1,95;1,8;1;2,75;2,35;1,57;0;1;
Jupiler League;KV Mechelen;Gent;2,75;G;1,4;S;1,57;2,25;1;4,33;1,7;2,1;1;2;
Eredivisie;Breda;Den Haag;1,57;G;2,25;S;1,66;2,1;1;3,5;1,95;1,9;1;2;
Laliga;Valencia;Betis;2,37;S;1,53;G;1,8;1,95;1;3,5;2,05;1,85;0;3;
Superettan Svez;Jonkopings;Landskrona;1,4;G;2,75;S;1,8;1,95;1;3,5;2;1,85;2;4;
Laliga;Granada;Ath Bilbao;2,62;G;1,44;S;1,8;1,95;1;3,5;2,05;1,85;1;0;
Jupiler League;Genk;Charleroi;1,18;G;4,5;S;1,53;2,37;1;6,5;1,44;2,7;3;2;
Premier League;Aston Villa;Liverpool;4,33;G;1,2;S;1,75;2;1;4,5;1,66;2,2;1;2;
Eredivisie;Excelsior;Roda;1,72;S;2;G;1,5;2,5;1;5;1,53;2,4;2;2;
Laliga;Barcellona;Celta Vigo;1,14;ND;5,5;ND;1,7;2,05;1;5;1,5;2,62;3;1;
A League;Melbourne City;Wellington Phoenix;1,06;G;10;S;1,9;1,9;1;7;1,33;3,4;2;1;
Allsvenskan;Helsingborg;Norrkoping;2,75;S;1,4;G;1,7;2,05;1;3,75;1,88;1,98;0;1;
Allsvenskan;Sundsvall;Degerfors;1,72;S;2;G;1,57;2,25;1;4,5;1,61;2,25;2;3;
Superliga;Viborg;Vejle;1,36;S;3;G;1,8;1,95;1;3,5;1,93;1,93;2;2;
Allsvenskan;Varnamo;Hacken;2,62;S;1,44;G;1,75;2;1;3,75;1,9;1,95;1;2;
Allsvenskan;Elfsborg;Djurgarden;1,5;G;2,5;S;1,61;2,2;1;4,33;1,66;2,15;0;0;
Eredivisie;Graafschap;Eindhoven;1,44;G;2,62;S;1,8;1,95;1;3,5;2;1,85;1;1;
Serie A;Fiorentina;Roma;1,83;S;1,83;G;1,8;1,95;1;3,4;2,1;1,8;2;0;
Laliga2;Girona;Tenerife;1,4;G;2,75;S;2,1;1,66;1,44;2,62;2,4;1,53;0;1;
Veikkausliiga;Kups;Haka;1,33;S;3,25;G;2,1;1,66;1,4;2,75;2,35;1,57;2;1;
Veikkausliiga;Lahti;Hjk;4,5;ND;1,18;ND;2;1,75;1,28;3,5;1,95;1,9;1;1;
Superliga;Odense;Viborg;1,66;S;2,1;G;1,7;2,05;1,28;3,5;1,95;1,9;1;1;
Superliga;Vejle;Aarhus;1,72;G;2;S;1,9;1,9;1,36;3;2,1;1,7;1;0;
Laliga;Real Sociedad;Cadice;1,22;S;4;G;2,1;1,66;1,36;3,2;2,1;1,72;3;0;
Superliga;Midtjylland;Brondby;1,22;ND;4;ND;1,75;2;1,2;4,33;1,66;2,15;2;2;
Laliga;Vallecano;Villarreal;2,75;ND;1,4;ND;1,75;2;1,28;3,75;1,95;1,95;1;5;
Jupiler League;Anderlecht;Antwerp;1,18;G;4,5;S;1,95;1,8;1,25;3,75;1,9;1,95;2;1;
Super League Sviz;Basilea;Grasshoppers;1,4;S;2,75;G;1,5;2,5;1,14;4,5;1,53;2,5;1;1;
Super League Sviz;Zurigo;Lausanne;1,33;S;3,25;G;1,53;2,37;1,14;4,5;1,47;2,6;2;2;
Premier League;Tottenham;Arsenal;1,61;G;2,2;S;1,75;2;1,28;3,75;1,97;1,93;3;0;
Laliga;Real Madrid;Levante;1,16;ND;5;ND;1,5;2,5;1,08;8;1,3;3,5;6;0;
Ligue 1;Nizza;ST Etienne;1,18;G;4,5;S;1,9;1,9;1,22;4,33;1,72;2,1;4;2;
Eliteserien Norv;Molde;Odd;1,12;G;6;S;1,66;2,1;1,12;6;1,44;2,7;3;0;
Laliga;Alaves;Espanyol;1,5;S;2,5;G;1,8;1,95;1,33;3,4;2,06;1,84;2;1;
Laliga;Osasuna;Getafe;1,61;S;2,2;G;2,25;1,57;1,66;2,2;3,2;1,36;1;1;
Allsvenskan;Aik Stockholm;Malmo FF;1,61;G;2,2;S;1,95;1,8;1,4;2,75;2,25;1,61;2;0;
Superliga;FC Copenhagen;Silkeborg;1,44;S;2,62;G;1,7;2,05;1,25;3,75;1,8;2;2;1;
Super Leauge Gre;Olympiakos;Panathinaikos;1,44;S;2,62;G;2,05;1,7;1,44;2,62;2,35;1,57;1;2;
Jupiler League;Club Brugge;Royale Union SG;1,9;S;1,8;G;1,7;2,05;1,25;3,75;1,88;1,98;1;0;
Premier League;Leeds;Chelsea;3,5;ND;1,28;ND;1,7;2,05;1,22;4,33;1,72;2,1;0;3;
Laliga;Siviglia;Maiorca;1,22;S;4;G;2,1;1,66;1,36;3,2;2,1;1,72;0;0;
Premier League;Leicester;Norwich;1,11;G;6,5;S;1,9;1,9;1,16;5;1,53;2,5;3;0;
Premier League;Watford;Everton;4;S;1,22;G;2,05;1,7;1,4;3;2,2;1,66;0;0;
Ligue 1;Nantes;Rennes;4,33;S;1,2;G;1,66;2,1;1,16;5;1,57;2,37;2;1;
Coppa Italia;Juventus;Inter;2,62;S;1,44;G;1,8;1,95;1,33;3,25;2,08;1,82;2;2;
Premier League;Wolves;Manchester City;8;G;1,08;S;2;1,75;1,16;5;1,57;2,37;1;5;
Laliga;Elche;Atl Madrid;5;S;1,16;G;2,2;1,61;1,36;3,2;2,2;1,66;0;2;
Allsvenskan;Dalkurd;Skovde;2;G;1,72;S;1,61;2,2;1,22;4;1,8;2,05;3;1;
Eredivisie;Eindhoven;Graafschap;2;S;1,72;G;1,9;1,9;1,36;3;2,15;1,66;3;1;
Serie B;Ascoli;Benevento;1,83;ND;1,83;ND;1,75;2;1,28;3,5;1,98;1,88;0;1;
Championship;Luton;Huddersfield;1,57;G;2,25;S;2,1;1,66;1,53;2,5;2,62;1,5;1;1;
Laliga2;R Sociedad B;Almeria;2,25;G;1,57;S;1,72;2;1,25;3,75;1,9;1,95;0;2;
Liga Portugal;Ferreira;Benfica;2,75;G;1,4;S;1,53;2,37;1,16;5;1,57;2,35;0;2;
Veikkausliiga;Oulu;Honka;3,5;G;1,28;S;1,9;1,9;1,28;3,5;1,95;1,9;2;1;
Veikkausliiga;Vps;Sjk;1,72;G;2;S;1,95;1,8;1,4;2,75;2,35;1,57;0;1;
Serie A;Sampdoria;Fiorentina;4,33;S;1,2;G;1,8;1,95;1,22;4,33;1,72;2,1;4;1;
Superliga;Silkeborg;Midtjylland;1,72;G;2;S;1,44;2,62;1,14;5,5;1,53;2,4;1;4;
Super Lig;Galatasaray;Adana Demirspor;1,44;ND;2,62;ND;1,53;2,37;1,14;5,5;1,5;2,5;3;2;
Super Lig;Rizespor;Sivasspor;2,2;S;1,61;G;1,61;2,2;1,2;4,33;1,7;2,1;1;2;
Allsvenskan;Djurgarden;Malmo FF;1,3;G;3,4;S;1,9;1,9;1,28;3,5;1,98;1,88;4;0;
Eliteserien Norv;Valerenga;Ham Kam;1,25;G;3,75;S;1,75;2;1,22;4;1,7;2,1;1;1;
Championship;Huddersfield;Luton;1,5;G;2,5;S;2,1;1,66;1,5;2,62;2,5;1,53;1;0;
Serie A;Juventus;Lazio;1,44;G;2,62;S;1,61;2,2;1,25;4;1,8;2;2;2;
Premier League;Newcastle;Arsenal;3;G;1,36;S;1,75;2;1,28;3,75;1,88;2,02;2;0;
Laliga2;R Oviedo;Saragozza;1,25;ND;3,75;ND;2,2;1,61;1,4;2,75;2,35;1,57;3;3;
